anno,trappola,habitat,specie,n_sp,,,,,,,,
2021,castagneto_vecchio_1,castagneto,calathus_fuscipes_graecus,2,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_problematicus_problematicus,5,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_ convexus_convexus,2,,,,,,,,
2021,castagneto_vecchio_1,castagneto,abax_contractus,2,,,,,,,,
2021,castagneto_vecchio_1,castagneto,cychrus_italicus,1,,,,,,,,
2021,castagneto_vecchio_1,castagneto,harpalus_atratus,2,,,,,,,,
2021,castagneto_vecchio_1,castagneto,pseudoophonus_rufipes,1,,,,,,,,
2021,castagneto_vecchio_1,castagneto,pterostichus_micans,2,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_glabratus_latior,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,cymindis_cingulata,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_intricatus,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_ granulatus_interstitialis,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,pseudoophonus_griseus,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,amara_convexior,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,harpalus_tardus,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,harpalus_rufipalpis_rufipalpis,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,harpalus_harpalus_marginellus,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,synthomus_truncatellus,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,metallina_lampros,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,calathus_rubripes,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,calosoma_sycophanta,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,abax_baenningeri,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,carabus_germarii_fiorii,0,,,,,,,,
2021,castagneto_vecchio_1,castagneto,parophonus_parophonus_maculicornis,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,calathus_fuscipes_graecus,6,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_problematicus_problematicus,2,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_ convexus_convexus,1,,,,,,,,
2021,castagneto_vecchio_2,castagneto,abax_contractus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,cychrus_italicus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,harpalus_atratus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,pseudoophonus_rufipes,2,,,,,,,,
2021,castagneto_vecchio_2,castagneto,pterostichus_micans,10,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_glabratus_latior,1,,,,,,,,
2021,castagneto_vecchio_2,castagneto,cymindis_cingulata,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_intricatus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_ granulatus_interstitialis,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,pseudoophonus_griseus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,amara_convexior,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,harpalus_tardus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,harpalus_rufipalpis_rufipalpis,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,harpalus_harpalus_marginellus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,synthomus_truncatellus,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,metallina_lampros,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,calathus_rubripes,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,calosoma_sycophanta,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,abax_baenningeri,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,carabus_germarii_fiorii,0,,,,,,,,
2021,castagneto_vecchio_2,castagneto,parophonus_parophonus_maculicornis,0,,,,,,,,
2021,castagneto_vecchio_3,castagneto,calathus_fuscipes_graecus,1,,,,,,,,
2021,castagneto_vecchio_3,castagneto,carabus_problematicus_problematicus,8,,,,,,,,
2021,castagneto_vecchio_3,castagneto,carabus_ convexus_convexus,2,,,,,,,,
2021,castagneto_vecchio_3,castagneto,abax_contractus,3,,,,,,,,
2021,castagneto_vecchio_3,castagneto,cychrus_italicus,1,,,,,,,,
2021,castagneto_vecchio_3,castagneto,harpalus_atratus,0,,,,,,,,
2021,castagneto_vecchio_3,castagneto,pseudoophonus_rufipes,0,,,,,,,,
2021,castagneto_vecchio_3,castagneto,pterostichus_micans,6,,,,,,,,
