anno,sito,habitat,n_specie,traps,trap_habitat
2021,colloro,Forest,1,t1,forest_1
2021,colloro,Forest,1,t2,forest_2
2021,colloro,Forest,4,t3,forest_3
2021,colloro,Forest,0,t4,forest_4
2021,colloro,Grassland,2,t1,terraced_grassland_1
2021,colloro,Grassland,2,t2,terraced_grassland_2
2021,colloro,Grassland,4,t3,terraced_grassland_3
2021,colloro,Grassland,1,t4,terraced_grassland_4
2021,colloro,Ferns,6,t1,terraced_grassland_with_ferns_1
2021,colloro,Ferns,6,t2,terraced_grassland_with_ferns_2
2021,colloro,Ferns,3,t3,terraced_grassland_with_ferns_3
2021,colloro,Ferns,2,t4,terraced_grassland_with_ferns_4
2022,colloro,Forest,1,t1,forest_1
2022,colloro,Forest,2,t2,forest_2
2022,colloro,Forest,2,t3,forest_3
2022,colloro,Forest,0,t4,forest_4
2022,colloro,Grassland,3,t1,terraced_grassland_1
2022,colloro,Grassland,3,t2,terraced_grassland_2
2022,colloro,Grassland,2,t3,terraced_grassland_3
2022,colloro,Grassland,1,t4,terraced_grassland_4
2022,colloro,Ferns,2,t1,terraced_grassland_with_ferns_1
2022,colloro,Ferns,3,t2,terraced_grassland_with_ferns_2
2022,colloro,Ferns,3,t3,terraced_grassland_with_ferns_3
2022,colloro,Ferns,0,t4,terraced_grassland_with_ferns_4
2021,cicogna,Chestnut_grove,8,t1,castagneto_vecchio_1
2021,cicogna,Chestnut_grove,6,t2,castagneto_vecchio_2
2021,cicogna,Chestnut_grove,8,t3,castagneto_vecchio_3
2021,cicogna,Chestnut_grove,6,t4,castagneto_vecchio_4
2021,cicogna,Chestnut_grove,7,t5,castagneto_vecchio_5
2021,cicogna,Chestnut_grove,5,t6,castagneto_vecchio_6
2021,cicogna,Chestnut_grove,5,t7,castagneto_vecchio_7
2021,cicogna,Chestnut_grove,3,t8,castagneto_vecchio_8
2021,cicogna,Chestnut_grove,7,t9,castagneto_vecchio_9
2021,cicogna,Chestnut_grove,0,t10,castagneto_vecchio_10
2021,cicogna,Chestnut_grove,7,t11,castagneto_vecchio_11
2021,cicogna,Chestnut_grove,1,t12,castagneto_vecchio_12
2021,cicogna,Chestnut_grove,6,t13,castagneto_vecchio_13
2021,cicogna,Chestnut_grove,7,t14,castagneto_vecchio_14
2021,cicogna,Chestnut_grove,8,t15,castagneto_vecchio_15
2021,cicogna,Grassland,4,t1,prato_1
2021,cicogna,Grassland,6,t2,prato_2
2021,cicogna,Grassland,9,t3,prato_3
2021,cicogna,Grassland,6,t4,prato_4
2021,cicogna,Grassland,3,t5,prato_5
2021,cicogna,Grassland,8,t6,prato_6
2021,cicogna,Grassland,9,t7,prato_7
2021,cicogna,Grassland,9,t8,prato_8
2021,cicogna,Grassland,4,t9,prato_9
2021,cicogna,Grassland,8,t10,prato_10
2021,cicogna,Grassland,7,t11,prato_11
2021,cicogna,Grassland,3,t12,prato_12
2021,cicogna,Grassland,7,t13,prato_13
2021,cicogna,Grassland,7,t14,prato_14
2021,cicogna,Grassland,2,t15,prato_15
2021,cicogna,Ecotone,5,t1,ecotono_1
2021,cicogna,Ecotone,5,t2,ecotono_2
2021,cicogna,Ecotone,6,t3,ecotono_3
2021,cicogna,Ecotone,9,t4,ecotono_4
2021,cicogna,Ecotone,8,t5,ecotono_5
2021,cicogna,Ecotone,7,t6,ecotono_6
2021,cicogna,Ecotone,5,t7,ecotono_7
2021,cicogna,Ecotone,4,t8,ecotono_8
2021,cicogna,Ecotone,5,t9,ecotono_9
2021,cicogna,Ecotone,5,t10,ecotono_10
2021,cicogna,Ecotone,6,t11,ecotono_11
2021,cicogna,Ecotone,5,t12,ecotono_12
2021,cicogna,Ecotone,5,t13,ecotono_13
2021,cicogna,Ecotone,6,t14,ecotono_14
2021,cicogna,Ecotone,6,t15,ecotono_15
2022,cicogna,Chestnut_grove,5,t1,castagneto_vecchio_1
2022,cicogna,Chestnut_grove,9,t2,castagneto_vecchio_2
2022,cicogna,Chestnut_grove,6,t3,castagneto_vecchio_3
2022,cicogna,Chestnut_grove,3,t4,castagneto_vecchio_4
2022,cicogna,Chestnut_grove,6,t5,castagneto_vecchio_5
2022,cicogna,Chestnut_grove,7,t6,castagneto_vecchio_6
2022,cicogna,Chestnut_grove,3,t7,castagneto_vecchio_7
2022,cicogna,Chestnut_grove,4,t8,castagneto_vecchio_8
2022,cicogna,Chestnut_grove,4,t9,castagneto_vecchio_9
2022,cicogna,Chestnut_grove,5,t10,castagneto_vecchio_10
2022,cicogna,Chestnut_grove,7,t11,castagneto_vecchio_11
2022,cicogna,Chestnut_grove,4,t12,castagneto_vecchio_12
2022,cicogna,Chestnut_grove,2,t13,castagneto_vecchio_13
2022,cicogna,Chestnut_grove,4,t14,castagneto_vecchio_14
2022,cicogna,Chestnut_grove,1,t15,castagneto_vecchio_15
2022,cicogna,Grassland,3,t1,prato_1
2022,cicogna,Grassland,3,t2,prato_2
2022,cicogna,Grassland,3,t3,prato_3
2022,cicogna,Grassland,4,t4,prato_4
2022,cicogna,Grassland,3,t5,prato_5
2022,cicogna,Grassland,3,t6,prato_6
2022,cicogna,Grassland,2,t7,prato_7
2022,cicogna,Grassland,5,t8,prato_8
2022,cicogna,Grassland,5,t9,prato_9
2022,cicogna,Grassland,0,t10,prato_10
2022,cicogna,Grassland,4,t11,prato_11
2022,cicogna,Grassland,2,t12,prato_12
2022,cicogna,Grassland,8,t13,prato_13
2022,cicogna,Grassland,8,t14,prato_14
2022,cicogna,Grassland,7,t15,prato_15
2022,cicogna,Ecotone,3,t1,ecotono_1
2022,cicogna,Ecotone,4,t2,ecotono_2
2022,cicogna,Ecotone,7,t3,ecotono_3
2022,cicogna,Ecotone,9,t4,ecotono_4
2022,cicogna,Ecotone,5,t5,ecotono_5
2022,cicogna,Ecotone,5,t6,ecotono_6
2022,cicogna,Ecotone,2,t7,ecotono_7
2022,cicogna,Ecotone,4,t8,ecotono_8
2022,cicogna,Ecotone,1,t9,ecotono_9
2022,cicogna,Ecotone,3,t10,ecotono_10
2022,cicogna,Ecotone,2,t11,ecotono_11
2022,cicogna,Ecotone,3,t12,ecotono_12
2022,cicogna,Ecotone,6,t13,ecotono_13
2022,cicogna,Ecotone,5,t14,ecotono_14
2022,cicogna,Ecotone,4,t15,ecotono_15
