Species,2021,2022,sum,m,f
"Carabus (Megodontus) germari fiorii Born, 1901",1,0,1,0,1
"Carabus (Tomocarabus) convexus convexus Fabricius, 1775",0,2,2,0,2
"Harpalus (Harpalus) rufipalpis rufipalpis (Sturm, 1818)",32,0,32,3,29
"Harpalus (Harpalus) serripes serripes (Quensel in Schönherr, 1806)",8,0,8,2,6
"Harpalus (Harpalus) subcylindricus Dejean, 1829",6,1,7,1,7
"Harpalus (Harpalus) tardus (Panzer, 1797)",17,3,20,7,13
"Pseudoophonus (Platus) calceatus (Duftschmid, 1812)",6,4,10,0,10
"Pseudoophonus (Pseudoophonus) griseus (Panzer, 1796)",1,5,6,1,5
"Pseudoophonus (Pseudoophonus) rufipes (De Geer, 1774)",0,6,6,2,4
"Calathus (Calathus) fuscipes graecus Dejean, 1831",0,1,1,1,0
"Calathus (Neocalathus) cinctus Motschulsky, 1850",1,0,1,0,1
"Abax (Abax) contractus (Heer, 1841)",34,28,62,20,42
"Amara (Amara) convexior Stephens, 1828",1,1,2,0,2
"Amara (Zezea) fulvipes (Audinet-Serville, 1821)",0,1,1,1,0
"Pterostichus (Pterostichus) micans Heer, 1841",1,2,3,2,1
"Metallina (Metallina) lampros (Herbst, 1784)",1,0,1,0,1
